FileName,Graph Number,Sample Name, S_BET, Total pore volume, Micropore volume
Data1,1,AC0520,262,0.2293,-
Data1,1,AC1020,598.6,0.384,-
Data1,1,AC2020,1652,0.9185,-
Data1,1,AC3020,1905,1.059,-
Data1,1,AC4020,2960,1.624,-
Data1,3,AC3020_f3,1905,1.059,-
Data1,3,AC3030_f3,2387,1.442,-
Data2,4,ACFC-1000,548,-,0.3
Data2,4,ACFC-700,340,-,0.26
Data2,4,ACFC-800,482,-,0.29
Data2,4,ACFC-900,576,-,0.34
Data3,1,A-2,1872,-,-
Data3,1,A-3,2746,-,-
Data3,1,Ab-2,1741,-,-
Data3,1,CS-1,2196,-,-
Data3,1,L-1,56,-,-
Data3,1,S-2,2331,-,-
Data4,1,M158H,618,,
Data4,2,CECA-CXV,1752,,
Data4,3,AX-21,3098,,
Data5,2,S1AC_700_stC,280,,
Data5,2,S1AC_800_stC,550,,
Data5,2,S1AC_900_stC,400,,
Data5,2,S2AC-700,490,,
Data5,2,S2AC-800,650,,
Data5,2,S2AC-900,480,,
Data5,5,S1AC-1h,550,,
Data5,5,S1AC-3h,680,,
Data5,5,S1AC-6h,530,,
Data5,5,S2AC-1h,650,,
Data5,5,S2AC-3h,790,,
Data5,5,S2AC-6h,780,,
Data6,2,15%,551,0.26,
Data6,2,25%,805,0.34,
Data6,2,40%,929,0.40,
Data6,2,5%,434,0.21,
Data6,2,54%,1228,0.53,
Data6,2,58%,1247,0.54,
Data6,2,9%,450,0.21,
Data7,8,two-step-15%,,,
Data7,8,two-step-20%,,,
Data7,8,two-step-9%,,,
Data7,9,one-step-10%,,,
Data7,9,one-step-20%,,,
Data7,9,one-step-25%,,,
Data8,2,CA1,359.15,,
Data8,2,PFA2,447.45,,
Data8,2,PFA2-2,402.19,,
Data8,2,PFA5,512.2,,
Data8,2,Takeda5A,,,
Data9,8,carbon-M-0,,,
Data10,4,F300F850,,,
Data10,4,F850,,,
Data10,4,L275F850,,,
Data10,4,L285F850,,,
