Figure_number,Sample_name,Total_surface_area[m2/g],Total_pore_volume[cm3/g],Micropore_volume[cm3/g],Mesopore_volume[cm3/g],Average_pore_diameter[nm],Activation_temperature[stC],Activation_time[min],Impregnation_ratio[agent/char],Activation_type,Activation_agent,Material_type
10_1,KMR240,,,,,,,,,,,
10_1,KUR360,,,,,,,,,,,
10_2,KMT240,,,,,,,,,,,
10_2,KUT360,,,,,,,,,,,
9_1,KUR-BO15-60min,,,,,,,,,,,
9_1,KUR-BO32-120min,,,,,,,,,,,
9_1,KUR-BO51-240min,,,,,,,,,,,
9_1,KUR-BO79-360min,,,,,,,,,,,
9_1,KUR-BO8-30min,,,,,,,,,,,
9_2,KMR-BO15-30min,,,,,,,,,,,
9_2,KMR-BO34-60min,,,,,,,,,,,
9_2,KMR-BO58-120min,,,,,,,,,,,
9_2,KMR-BO83-240min,,,,,,,,,,,
9_3,KUT-BO11-60min,,,,,,,,,,,
9_3,KUT-BO26-120min,,,,,,,,,,,
9_3,KUT-BO5-30min,,,,,,,,,,,
9_3,KUT-BO56-240min,,,,,,,,,,,
9_3,KUT-BO65-360min,,,,,,,,,,,
9_4,KMT-BO15-10min,,,,,,,,,,,
9_4,KMT-BO26-30min,,,,,,,,,,,
9_4,KMT-BO40-120min,,,,,,,,,,,
9_4,KMT-BO80-240min,,,,,,,,,,,
