AC2020,
X,Y
0.1494 , 428.9489
0.2281 , 465.5361
0.2953 , 486.2117
0.3161 , 492.0104
0.3369 , 498.0729
0.3577 , 504.3464
0.3786 , 509.3537
0.3994 , 514.2555
0.4202 , 519.0517
0.4418 , 522.2903
0.4619 , 529.0351
0.4814 , 529.3270
0.5022 , 534.8811
0.5227 , 536.0993
0.5449 , 538.5869
0.5661 , 541.5752
0.5868 , 542.3326
0.6083 , 543.3756
0.6285 , 546.6492
0.6493 , 548.7019
0.6701 , 550.2060
0.6909 , 552.9130
0.7117 , 551.6947
0.7326 , 553.4309
0.7534 , 555.1671
0.7742 , 556.4812
0.7947 , 557.4429
0.8158 , 560.3757
0.8367 , 559.7905
0.8575 , 559.8384
0.8783 , 561.6802
0.8991 , 564.6826
0.9200 , 565.4692
0.9408 , 568.0759
0.9616 , 571.6323
0.9824 , 581.3985
0.9976 , 594.8976
0.0260 , 321.1887
0.0516 , 355.3812
0.0772 , 379.6180
0.1004 , 393.8938
0.1259 , 412.4416
0.1747 , 443.8430
0.2002 , 453.8573
0.2524 , 475.3110
