AC3020,
X,Y
0.0301 , 353.6944
0.0528 , 387.3245
0.0751 , 413.9411
0.1004 , 440.8964
0.1779 , 502.6137
0.3030 , 567.6369
0.3238 , 576.1615
0.6362 , 626.4389
0.1504 , 483.6097
0.1248 , 466.4841
0.2003 , 517.8582
0.2270 , 532.1420
0.2548 , 547.8506
0.2722 , 553.5796
0.2827 , 557.8704
0.3511 , 582.2059
0.3767 , 590.7980
0.4033 , 596.5484
0.4300 , 600.8765
0.4811 , 608.1051
0.4555 , 603.7796
0.5089 , 611.0136
0.5332 , 613.9141
0.5576 , 616.8146
0.5831 , 621.1401
0.6086 , 624.0432
0.6597 , 627.0051
0.6852 , 624.2194
0.7118 , 629.9697
0.7362 , 631.4480
0.7617 , 631.5067
0.7849 , 631.5600
0.8104 , 633.0410
0.8359 , 635.9442
0.8591 , 635.9975
0.8846 , 640.3230
0.9322 , 646.1213
0.9067 , 640.3737
0.9554 , 650.4414
0.9751 , 660.4425
0.9949 , 686.0882
