AC3020_f3,
X,Y
0.9916 , 688.9624
0.9770 , 677.3581
0.9593 , 667.4683
0.9316 , 662.7220
0.9087 , 659.6970
0.8867 , 657.5315
0.8601 , 655.3621
0.8351 , 654.4819
0.8100 , 652.3138
0.7844 , 652.2918
0.7594 , 650.9823
0.7349 , 648.3853
0.7088 , 648.3629
0.6842 , 646.1952
0.6602 , 646.1746
0.6341 , 643.5762
0.6101 , 641.8383
0.5840 , 639.6692
0.5579 , 637.5002
0.5339 , 635.3330
0.5094 , 630.1600
0.4833 , 625.8443
0.4593 , 623.2477
0.4301 , 615.9241
0.3987 , 613.7506
0.3742 , 602.9964
0.3486 , 593.5292
0.3220 , 583.2025
0.2985 , 572.4492
0.2756 , 559.1204
0.2286 , 532.8911
0.1994 , 513.1170
0.1806 , 496.3572
0.1717 , 489.4803
0.1566 , 476.1582
0.1446 , 467.5614
0.1300 , 452.0931
0.1185 , 442.2087
0.1039 , 428.8871
0.0950 , 421.1516
0.0746 , 396.6625
0.0501 , 370.0232
0.0271 , 336.9454
