AC3030_f3,
X,Y
0.0305 , 429.7698
0.0449 , 454.3197
0.0558 , 468.3942
0.0684 , 487.6137
0.0792 , 503.5925
0.0942 , 524.9414
0.1072 , 538.9980
0.1226 , 559.9537
0.1352 , 572.2691
0.1487 , 590.2902
0.1641 , 605.2052
0.1794 , 621.9343
0.1966 , 639.5363
0.2126 , 655.4490
0.2281 , 669.8006
0.2480 , 687.1281
0.2679 , 704.5906
0.2859 , 717.4475
0.3040 , 731.0429
0.3238 , 745.7384
0.3437 , 758.2744
0.3635 , 768.7519
0.3834 , 776.9349
0.4032 , 786.8321
0.4231 , 796.5404
0.4429 , 804.0485
0.4628 , 810.0044
0.4826 , 816.0841
0.5025 , 821.6688
0.5224 , 826.5899
0.5422 , 830.9262
0.5621 , 834.5201
0.5819 , 839.0388
0.6018 , 840.8980
0.6216 , 844.0194
0.6415 , 846.4660
0.6613 , 849.7899
0.6812 , 851.8316
0.7010 , 853.5358
0.7209 , 855.5550
0.7407 , 855.9995
0.7606 , 858.3111
0.7805 , 859.6441
0.8003 , 863.0918
0.8202 , 863.0638
0.8400 , 863.5758
0.8599 , 865.5500
0.8797 , 868.1990
0.8996 , 870.1057
0.9194 , 872.8223
0.9393 , 877.6984
0.9597 , 883.6522
0.9775 , 895.7376
0.9883 , 921.2569
0.9943 , 931.1956
