OS6_kwadrat,
X,Y
0.0019 , 78.8163
0.0058 , 88.3970
0.0241 , 115.7707
0.0337 , 125.3514
0.0434 , 131.7386
0.0578 , 139.0382
0.0896 , 149.5314
0.1079 , 155.4624
0.1397 , 161.8496
0.1609 , 165.9556
0.1859 , 169.6054
0.2062 , 172.3428
0.2389 , 175.5364
0.2582 , 177.3613
0.2861 , 180.0986
0.3083 , 181.9236
0.3333 , 184.2047
0.3536 , 185.1171
0.4875 , 192.8730
0.5096 , 193.3292
0.5848 , 195.6104
0.6050 , 196.0666
0.6840 , 197.8915
0.7052 , 198.3477
0.7341 , 199.2602
0.7505 , 199.7164
0.8343 , 200.6289
0.8565 , 202.4538
0.8902 , 201.9975
0.9104 , 201.9975
0.9383 , 203.3662
