OS7_trojkat,
X,Y
0.0102 , 235.2561
0.0261 , 250.7175
0.0479 , 258.6075
0.0697 , 263.5112
0.0916 , 267.8613
0.1134 , 270.4187
0.1368 , 274.1277
0.1582 , 275.8585
0.1801 , 277.1196
0.2015 , 278.3239
0.2240 , 279.8287
0.2464 , 281.0325
0.2681 , 281.1915
0.2899 , 282.0433
0.3115 , 282.2255
0.3327 , 282.8406
0.3546 , 283.7752
0.3763 , 284.1633
0.3986 , 284.6554
0.4194 , 284.8567
0.4423 , 285.3936
0.4633 , 285.5781
0.4855 , 285.7627
0.5065 , 286.0395
0.5296 , 286.6415
0.5514 , 287.4368
0.5732 , 286.8700
0.5966 , 286.4745
0.6211 , 287.4069
0.6418 , 288.3552
0.6636 , 287.4852
0.6876 , 287.6492
0.7072 , 287.9489
0.7291 , 288.1531
0.7509 , 288.9703
0.7728 , 288.3464
0.7946 , 288.3464
0.8242 , 288.8737
0.8460 , 289.5688
0.8678 , 288.9791
0.8897 , 288.8473
0.9115 , 288.5309
0.9330 , 288.7155
0.9520 , 290.1119
