OS8_kolo,
X,Y
0.0089 , 277.3481
0.0175 , 294.1782
0.0276 , 306.7904
0.0502 , 319.9824
0.0736 , 328.8736
0.0970 , 338.0765
0.1204 , 344.0559
0.1441 , 350.9516
0.1672 , 355.1273
0.1909 , 360.2946
0.2144 , 363.3001
0.2373 , 367.0542
0.2599 , 369.1178
0.2841 , 372.1321
0.3076 , 373.7931
0.3308 , 375.8539
0.3539 , 377.1860
0.3779 , 378.1959
0.4022 , 379.3560
0.4259 , 380.2770
0.4489 , 381.1893
0.4724 , 382.3088
0.4965 , 383.4161
0.5205 , 384.1989
0.5428 , 385.0146
0.5647 , 385.0506
0.5896 , 385.9207
0.6133 , 386.3567
0.6364 , 387.2177
0.6597 , 387.2981
0.6837 , 387.8021
0.7056 , 388.0035
0.7315 , 388.7417
0.7542 , 389.4021
0.7782 , 389.4799
0.8008 , 389.6502
0.8250 , 390.2181
0.8499 , 390.5921
0.8733 , 390.9563
0.8967 , 390.9846
0.9177 , 390.9563
0.9466 , 391.5809
