NPC-600,
X,Y
0.9867 , 82.9528
0.9738 , 71.5373
0.9510 , 63.9269
0.9271 , 60.1218
0.9033 , 59.3607
0.8762 , 56.3166
0.8534 , 56.3166
0.8306 , 55.5556
0.8013 , 54.7945
0.7786 , 54.0335
0.7536 , 54.0335
0.7287 , 53.2725
0.7037 , 53.2725
0.6777 , 53.2725
0.6528 , 51.7504
0.6278 , 50.9893
0.6018 , 51.7504
0.5779 , 50.2283
0.5508 , 50.2283
0.5269 , 50.2283
0.5020 , 49.4673
0.4771 , 49.4673
0.4532 , 49.4673
0.4261 , 49.4673
0.4011 , 47.9452
0.3773 , 47.9452
0.3512 , 47.9452
0.3263 , 47.1842
0.3144 , 47.1842
0.2623 , 47.1842
0.2623 , 47.1842
0.2363 , 47.1842
0.2103 , 46.4231
0.1831 , 44.9011
0.1560 , 44.9011
0.1333 , 44.9011
0.1040 , 44.1400
0.0779 , 42.6180
0.0530 , 42.6180
0.0389 , 42.6180
0.0302 , 41.8569
0.0183 , 40.3349
0.0031 , 38.0518
