NPC-800,
X,Y
0.9898 , 182.6484
0.9725 , 171.9939
0.9508 , 167.4277
0.9269 , 164.3836
0.9020 , 164.3836
0.8781 , 164.3836
0.8510 , 164.3836
0.8271 , 162.8615
0.8044 , 162.8615
0.7783 , 161.3394
0.7512 , 161.3394
0.7263 , 161.3394
0.6992 , 162.1005
0.6775 , 162.1005
0.6514 , 161.3394
0.6265 , 160.5784
0.6005 , 159.0563
0.5766 , 159.8174
0.5495 , 159.8174
0.5224 , 160.5784
0.4985 , 160.5784
0.4779 , 159.8174
0.4486 , 159.8174
0.4226 , 159.8174
0.3987 , 159.8174
0.3749 , 159.8174
0.3499 , 157.5342
0.3250 , 157.5342
0.3163 , 156.7732
0.2621 , 155.2511
0.2068 , 156.7732
0.1818 , 154.4901
0.1590 , 154.4901
0.1048 , 151.4460
0.0766 , 149.9239
0.0517 , 147.6408
0.0408 , 146.1187
0.0322 , 144.5967
0.0202 , 142.3135
-0.0002 , 54.7945
0.0083 , 140.0304
