Na2CO3,
X,Y
0.0214 , 113.8972
0.0483 , 130.9504
0.0734 , 134.7354
0.0986 , 139.5798
0.1241 , 146.0771
0.1498 , 148.1843
0.1744 , 150.6421
0.1995 , 153.5941
0.2255 , 155.1170
0.2500 , 157.4262
0.2757 , 161.0483
0.3002 , 163.8508
0.3255 , 164.7590
0.3515 , 170.0716
0.3759 , 172.8561
0.4017 , 172.7869
0.4262 , 175.2035
0.4520 , 179.5079
0.4772 , 179.2804
0.5016 , 181.7924
0.5268 , 186.3173
0.5521 , 188.2564
0.5772 , 188.9306
0.6023 , 190.8022
0.6285 , 194.7403
0.6537 , 198.0609
0.6797 , 197.4124
0.7049 , 200.2935
0.7306 , 204.0650
0.7551 , 207.1080
0.7795 , 207.0676
0.8054 , 209.7813
0.8306 , 213.5304
0.8559 , 215.4553
0.8810 , 219.4169
0.9062 , 223.0137
0.9307 , 225.2704
0.9566 , 228.2732
0.9821 , 237.9500
1.0005 , 249.9293
0.0091 , 112.6846
0.0059 , 90.1505
0.0048 , 63.8656
0.0037 , 35.7034
