S3,
X,Y
0.9384 , 1011.4965
0.9216 , 1004.2169
0.9048 , 995.4765
0.8922 , 989.6517
0.8739 , 980.9133
0.8571 , 973.6338
0.8459 , 969.2677
0.8319 , 964.9056
0.8165 , 956.1632
0.7983 , 950.3465
0.7801 , 941.6082
0.7605 , 932.8719
0.7311 , 921.2283
0.7017 , 908.1238
0.6849 , 902.3051
0.6625 , 890.6512
0.6190 , 873.1848
0.5938 , 862.9958
0.5686 , 851.3461
0.5224 , 830.9621
0.5042 , 825.1454
0.4818 , 816.4132
0.4706 , 812.0470
0.4286 , 794.5785
0.4034 , 782.9288
0.3725 , 766.9047
0.3459 , 756.7179
0.3305 , 749.4362
0.3165 , 743.6134
0.2997 , 737.7947
0.2843 , 730.5131
0.2605 , 717.4004
0.2437 , 708.6600
0.2283 , 701.3784
0.2101 , 694.1009
0.1919 , 682.4409
0.1737 , 670.7809
0.1569 , 662.0405
0.1401 , 651.8393
0.1261 , 640.1732
0.1134 , 628.5050
0.0966 , 615.3822
0.0840 , 599.3315
0.0700 , 584.7438
0.0574 , 567.2323
0.0476 , 549.7167
0.0392 , 533.6599
0.0322 , 517.6011
0.0238 , 498.6227
0.0196 , 481.0989
0.0112 , 469.4246
0.0070 , 446.0576
