A835,
X,Y
0.0112 , 8.6962
0.0165 , 8.9108
0.0230 , 9.0886
0.0361 , 9.2868
0.0545 , 9.4778
0.0752 , 9.5945
0.0995 , 9.7316
0.1226 , 9.8313
0.1456 , 9.9036
0.1686 , 9.9667
0.1916 , 10.0429
0.2145 , 10.0811
0.2375 , 10.1398
0.2600 , 10.1809
0.2835 , 10.2242
0.3065 , 10.2745
0.3295 , 10.3123
0.3525 , 10.3496
0.3755 , 10.3994
0.3985 , 10.4286
0.4215 , 10.4876
0.4450 , 10.5086
0.4693 , 10.5445
0.4926 , 10.6040
0.5134 , 10.6080
0.5430 , 10.6594
0.5660 , 10.7270
0.5889 , 10.7206
0.6135 , 10.7652
0.6349 , 10.7913
0.6579 , 10.8375
0.6809 , 10.8566
0.7039 , 10.9064
0.7267 , 10.9445
0.7499 , 10.9636
0.7723 , 10.9823
0.7958 , 11.0048
0.8188 , 11.0358
0.8418 , 11.0358
0.8648 , 11.0999
0.8878 , 11.1560
0.9106 , 11.1710
0.9338 , 11.2234
0.9563 , 11.2268
0.9789 , 11.2988
