A835,
X,Y
0.9653 , 11.2665
0.9376 , 11.2268
0.8833 , 11.1476
0.8585 , 11.1080
0.8358 , 11.0841
0.8081 , 11.0366
0.7815 , 11.0127
0.7488 , 10.9573
0.7202 , 10.9334
0.6915 , 10.8859
0.6638 , 10.8462
0.6401 , 10.8066
0.6115 , 10.7749
0.5838 , 10.7195
0.5561 , 10.6798
0.5304 , 10.6560
0.5047 , 10.6084
0.4760 , 10.5609
0.4464 , 10.5213
0.4197 , 10.4737
0.3970 , 10.4341
0.3713 , 10.4024
0.3436 , 10.3391
0.3130 , 10.2916
0.3130 , 10.2916
0.3021 , 10.2678
0.2576 , 10.1729
0.2329 , 10.1254
0.2181 , 10.0937
0.1924 , 10.0383
0.1815 , 9.9988
0.1716 , 9.9830
0.1548 , 9.9355
0.1449 , 9.9039
0.1192 , 9.8249
0.1064 , 9.7774
0.1064 , 9.7774
0.0925 , 9.7221
0.0846 , 9.6905
0.0797 , 9.6511
0.0708 , 9.6116
0.0658 , 9.5879
0.0609 , 9.5484
0.0529 , 9.4853
0.0421 , 9.3748
0.0381 , 9.3275
0.0332 , 9.2880
0.0272 , 9.2013
0.0232 , 9.0909
0.0193 , 9.0277
0.0153 , 8.9331
0.0123 , 8.8306
0.0113 , 8.7281
0.0083 , 8.6256
