A835ox,
X,Y
0.9653 , 11.1167
0.9504 , 11.0929
0.9089 , 11.0137
0.8822 , 10.9741
0.8565 , 10.9187
0.8318 , 10.8870
0.8081 , 10.8316
0.7814 , 10.7920
0.7537 , 10.7366
0.7261 , 10.7048
0.7023 , 10.6494
0.6826 , 10.6256
0.6351 , 10.5385
0.6084 , 10.4910
0.5887 , 10.4672
0.5610 , 10.4118
0.5323 , 10.3564
0.5037 , 10.3088
0.4750 , 10.2534
0.4483 , 10.2059
0.4197 , 10.1505
0.3900 , 10.0872
0.3346 , 9.9921
0.3089 , 9.9288
0.2981 , 9.9209
0.2724 , 9.8418
0.2585 , 9.8181
0.2328 , 9.7548
0.2140 , 9.7073
0.1824 , 9.6282
0.1725 , 9.5966
0.1577 , 9.5492
0.1488 , 9.5176
0.1231 , 9.4307
0.1152 , 9.3991
0.1033 , 9.3517
0.0974 , 9.3201
0.0905 , 9.2885
0.0835 , 9.2411
0.0776 , 9.2095
0.0667 , 9.1464
0.0598 , 9.0911
0.0529 , 9.0280
0.0440 , 8.9570
0.0390 , 8.9018
0.0370 , 8.8623
0.0301 , 8.7834
0.0271 , 8.7361
0.0242 , 8.6493
0.0192 , 8.5783
0.0162 , 8.5074
0.0142 , 8.4443
0.0122 , 8.3418
0.0103 , 8.2629
0.0093 , 8.1919
0.0022 , 7.6321
0.0011 , 6.8436
0.0010 , 6.1813
