C_NaOH_850,
X,Y
0.0105 , 190.6867
0.0067 , 164.0354
0.0052 , 148.4429
0.0054 , 115.8059
0.0049 , 91.1231
0.0052 , 67.2569
0.0049 , 45.7306
0.0052 , 22.8119
0.0050 , 135.6554
0.0068 , 11.4695
0.0328 , 209.6997
0.0539 , 221.9613
0.0749 , 229.4863
0.0960 , 233.5260
0.1170 , 236.7995
0.1381 , 240.6471
0.1591 , 242.4348
0.1802 , 246.0690
0.2013 , 248.0224
0.2223 , 248.4559
0.2433 , 251.6629
0.2644 , 253.9227
0.2854 , 254.9706
0.3065 , 256.1066
0.3275 , 257.3124
0.3486 , 260.0229
0.3696 , 260.5405
0.3907 , 261.1343
0.4117 , 263.0274
0.4328 , 263.6802
0.4538 , 266.4155
0.4749 , 265.7564
0.4959 , 266.7396
0.5170 , 266.0765
0.5380 , 267.5493
0.5591 , 267.2771
0.5801 , 268.9730
0.6012 , 268.5720
0.6222 , 270.3688
0.6433 , 271.7869
0.6643 , 271.4811
0.6853 , 273.7298
0.7064 , 272.8821
0.7274 , 275.9072
0.7485 , 277.3905
0.7695 , 279.0409
0.7906 , 281.3686
0.8116 , 280.7039
0.8327 , 283.0898
0.8537 , 283.3075
0.8748 , 285.2570
0.8958 , 288.5560
0.9169 , 292.6838
0.9379 , 297.5814
0.9604 , 307.4237
0.9758 , 325.0799
0.9868 , 344.7218
0.9901 , 368.0787
