C_NaOH_800,
X,Y
0.0113 , 255.4832
0.0066 , 230.3192
0.0051 , 210.9602
0.0324 , 271.8829
0.0506 , 285.7128
0.0724 , 291.7696
0.0935 , 295.5277
0.1145 , 298.7334
0.1356 , 301.1902
0.1566 , 303.8944
0.1777 , 304.1800
0.1987 , 304.7381
0.2198 , 306.1771
0.2408 , 308.0627
0.2619 , 309.6961
0.2829 , 310.5112
0.3040 , 311.5229
0.3250 , 312.4407
0.3461 , 313.0380
0.3671 , 314.6956
0.3882 , 315.9045
0.4092 , 317.4495
0.4303 , 317.8474
0.4513 , 319.1088
0.4724 , 320.0516
0.4934 , 321.5122
0.5145 , 323.7309
0.5355 , 326.3021
0.5566 , 329.4697
0.5776 , 329.0426
0.5986 , 328.4642
0.6197 , 330.1029
0.6407 , 333.1355
0.6618 , 332.6834
0.6828 , 334.1947
0.7039 , 335.4007
0.7249 , 336.1778
0.7460 , 337.3711
0.7670 , 339.9230
0.7881 , 341.8882
0.8091 , 345.7428
0.8302 , 345.2575
0.8512 , 348.2859
0.8723 , 353.3920
0.8933 , 356.5668
0.9144 , 361.6370
0.9355 , 369.9510
0.9573 , 378.9657
0.9741 , 391.9842
0.9884 , 416.4669
0.9920 , 437.0068
