RHBKS,
X,Y
0.9860 , 322.8717
0.9657 , 316.6455
0.9291 , 312.1982
0.8818 , 311.3088
0.8297 , 309.5299
0.7304 , 307.7510
0.6311 , 305.0826
0.5298 , 305.9720
0.4266 , 302.4142
0.3312 , 299.7459
0.2810 , 297.9670
0.2251 , 297.0775
0.1721 , 295.2986
0.1238 , 289.9619
0.0978 , 287.2935
0.0582 , 280.1779
0.0399 , 273.9517
0.0264 , 265.0572
0.0129 , 252.6048
0.0051 , 238.3736
0.0013 , 224.1423
0.0003 , 206.3532
-0.0007 , 190.3431
-0.0007 , 172.5540
0.0002 , 155.6544
0.0002 , 136.9759
0.0002 , 118.2973
0.0001 , 100.5083
-0.0008 , 84.4981
-0.0009 , 47.1410
