c,
X,Y
-0.0003 , 269.1583
0.0001 , 217.0006
-0.0001 , 174.0796
-0.0004 , 139.0747
-0.0006 , 105.8381
0.0009 , 58.7942
0.0002 , 81.9614
0.0019 , 322.2162
0.0047 , 374.6061
0.0005 , 351.5440
0.0028 , 298.2464
-0.0004 , 236.8932
0.0100 , 410.1416
0.0197 , 444.1569
0.0319 , 470.9256
0.0480 , 495.1329
0.0693 , 516.1545
0.0937 , 533.0768
0.1181 , 546.1319
0.1425 , 554.8848
0.1669 , 561.4270
0.1913 , 567.0911
0.2156 , 571.6472
0.2400 , 575.6823
0.2644 , 578.8787
0.2888 , 581.5307
0.3131 , 584.3232
0.3375 , 585.7927
0.3619 , 588.2690
0.3863 , 590.4644
0.4106 , 591.8402
0.4350 , 593.3769
0.4594 , 594.6063
0.4838 , 595.7553
0.5081 , 596.8341
0.5325 , 597.9872
0.5569 , 598.6897
0.5813 , 598.8566
0.6056 , 598.6341
0.6300 , 600.2704
0.6544 , 600.7973
0.6788 , 601.5437
0.7031 , 600.9378
0.7275 , 602.7731
0.7519 , 603.5634
0.7763 , 604.1342
0.8006 , 602.3560
0.8250 , 604.6611
0.8494 , 603.5283
0.8738 , 605.8027
0.8981 , 604.9262
0.9225 , 608.8762
0.9469 , 609.8373
0.9721 , 614.0010
0.9850 , 614.1451
