CA1,
X,Y
0.0087 , 175.7969
0.0251 , 195.6272
0.0448 , 217.3129
0.0699 , 235.4946
0.0918 , 246.0998
0.1203 , 258.3022
0.1488 , 266.6929
0.1773 , 278.5557
0.2057 , 284.3071
0.2342 , 292.6328
0.2627 , 297.6518
0.2912 , 307.3202
0.3197 , 312.1636
0.3481 , 318.8716
0.3766 , 327.6103
0.4051 , 332.1283
0.4336 , 339.8475
0.4620 , 345.7061
0.4905 , 350.6505
0.5180 , 354.4593
0.5483 , 366.1728
0.5760 , 372.7453
0.6360 , 386.0418
0.6624 , 392.5887
0.6960 , 398.2257
0.7241 , 406.6038
0.7574 , 416.8953
0.7843 , 424.9557
0.8121 , 433.2518
0.8474 , 448.0547
0.8743 , 458.8834
0.9041 , 471.2461
0.9360 , 488.6437
0.9757 , 523.3335
0.9930 , 535.9446
0.6015 , 378.3158
0.9594 , 503.2022
