Conoco_Ag-360min,
X,Y
0.0097 , 338.6403
0.0305 , 387.1877
0.0621 , 431.1226
0.0840 , 452.0613
0.0993 , 465.8494
0.1200 , 479.6319
0.1419 , 492.9019
0.1620 , 501.5726
0.1821 , 509.2208
0.2022 , 516.3577
0.2503 , 529.0897
0.3033 , 537.2155
0.3563 , 542.7850
0.3983 , 546.3208
0.4488 , 550.3591
0.5000 , 551.3292
0.5499 , 553.8344
0.5999 , 554.8059
0.6498 , 555.2660
0.7004 , 555.7256
0.7503 , 556.1858
0.8009 , 556.6453
0.8191 , 556.6267
0.8508 , 558.1280
0.8849 , 558.6044
0.9257 , 558.5627
0.9495 , 559.5609
1.0006 , 563.0873
