Conoco_pure-540min,
X,Y
0.0101 , 420.8228
0.0298 , 485.9064
0.0607 , 543.6867
0.0774 , 566.5859
0.0997 , 592.6044
0.1214 , 610.8110
0.1431 , 626.9342
0.1648 , 638.8908
0.1883 , 648.7621
0.2119 , 656.5500
0.2565 , 666.9202
0.3099 , 673.6355
0.3620 , 679.3104
0.3992 , 682.3966
0.4500 , 684.9478
0.5003 , 686.9788
0.5505 , 689.5306
0.5995 , 691.0421
0.6504 , 692.5516
0.6994 , 694.0630
0.7503 , 695.0517
0.8005 , 695.5202
0.8191 , 695.5008
0.8489 , 697.0323
0.8743 , 697.0058
0.8998 , 696.9793
0.9233 , 698.5173
0.9500 , 698.4895
0.9761 , 700.0248
