Korean_Ag-60min,
X,Y
0.0084 , 217.0732
0.0303 , 236.0434
0.0629 , 248.5095
0.0797 , 251.7615
0.1005 , 255.5556
0.1202 , 257.7236
0.1404 , 260.4336
0.1617 , 262.6016
0.1814 , 262.6016
0.1999 , 264.7696
0.2493 , 267.4797
0.2998 , 269.6477
0.3509 , 270.7317
0.3992 , 271.2737
0.4497 , 271.2737
0.5003 , 272.3577
0.5379 , 273.4417
0.5514 , 272.3577
0.5879 , 272.8997
0.6131 , 271.8157
0.6384 , 272.3577
0.6637 , 271.2737
0.6884 , 273.4417
0.7131 , 272.3577
0.7383 , 272.3577
0.7636 , 272.3577
0.7883 , 272.3577
0.8130 , 272.3577
0.8332 , 272.3577
0.8636 , 271.8157
0.8888 , 271.8157
0.9141 , 272.3577
0.9382 , 272.3577
0.9635 , 272.3577
0.9792 , 272.3577
0.9949 , 272.3577
