Korean_pure-360min,
X,Y
0.0087 , 438.2061
0.0275 , 509.3783
0.0575 , 573.0303
0.0764 , 604.3259
0.0976 , 635.0874
0.1176 , 661.5355
0.1393 , 685.2928
0.1599 , 705.2757
0.1805 , 723.1030
0.2034 , 737.7020
0.2497 , 760.4345
0.3099 , 777.2696
0.3646 , 786.0095
0.4087 , 789.8767
0.4478 , 793.1942
0.4986 , 797.0758
0.5483 , 799.3384
0.5985 , 801.0633
0.6482 , 802.7871
0.6985 , 804.5120
0.7493 , 805.6993
0.7984 , 807.9607
0.8191 , 808.0052
0.8498 , 808.6103
0.8738 , 809.2009
0.8989 , 810.3328
0.9235 , 810.3858
0.9497 , 812.5978
0.9765 , 814.2722
0.9988 , 815.9370
