ADS1-900_800,
X,Y
-0.0002 , 163.0651
-0.0001 , 142.0891
-0.0007 , 124.7860
-0.0008 , 103.2333
-0.0008 , 83.0061
-0.0008 , 62.8365
-0.0008 , 42.7245
-0.0008 , 22.0362
0.0033 , 178.7902
-0.0007 , 153.1848
0.0106 , 189.9155
0.0252 , 196.8466
0.0398 , 200.1470
0.0544 , 202.0173
0.0689 , 203.1175
0.0835 , 204.3643
0.0981 , 205.7212
0.1127 , 206.1246
0.1273 , 206.8214
0.1418 , 207.2247
0.1564 , 207.8848
0.1710 , 208.2149
0.1856 , 208.6916
0.2002 , 208.6916
0.2148 , 209.0950
0.2293 , 209.3884
0.2439 , 209.8651
0.2585 , 209.9752
0.2731 , 210.1218
0.2877 , 210.4152
0.3023 , 211.1853
0.3168 , 210.3052
0.3314 , 210.6719
0.3460 , 210.7453
0.3606 , 211.0386
0.3752 , 211.0020
0.3898 , 211.2587
0.4043 , 211.7354
0.4189 , 211.5154
0.4335 , 211.5154
0.4481 , 211.5154
0.4627 , 212.3588
0.4772 , 212.3955
0.4918 , 212.3222
0.5064 , 212.3222
0.5210 , 212.6155
0.5356 , 212.3222
0.5502 , 212.3222
0.5647 , 212.6889
0.5793 , 212.7989
0.5939 , 213.0923
0.6085 , 213.0923
0.6231 , 213.1289
0.6377 , 213.1289
0.6522 , 213.0923
0.6668 , 213.1289
0.6814 , 213.1289
0.6960 , 214.0091
0.7106 , 213.7524
0.7251 , 213.9357
0.7397 , 214.1558
0.7543 , 214.8525
0.7689 , 214.3391
0.7835 , 214.7425
0.7981 , 215.6226
0.8126 , 215.2193
0.8272 , 215.4026
0.8418 , 215.9894
0.8564 , 215.9894
0.8710 , 216.8328
0.8856 , 216.8695
0.9001 , 216.9428
0.9147 , 217.5663
0.9293 , 217.5663
0.9439 , 218.1163
0.9585 , 218.5564
0.9730 , 219.8033
0.9876 , 221.9302
0.9982 , 223.6978
