ADS1-900_800,
X,Y
0.9964 , 224.1681
0.9770 , 220.2277
0.9525 , 218.4764
0.9014 , 217.1629
0.8763 , 217.1629
0.8518 , 215.8494
0.8266 , 215.8494
0.7993 , 215.8494
0.7504 , 214.9737
0.7007 , 214.5359
0.6496 , 213.2224
0.6000 , 214.0981
0.5705 , 212.3468
0.5201 , 212.3468
0.4691 , 212.7846
0.4007 , 211.4711
0.3000 , 211.4711
0.2496 , 210.5954
0.2000 , 208.4063
0.1612 , 208.4063
0.1410 , 207.5306
0.1187 , 206.2172
0.1000 , 206.2172
0.0806 , 204.4658
0.0626 , 202.7145
0.0489 , 201.8389
0.0331 , 199.6497
0.0223 , 195.7093
0.0101 , 189.5797
0.0029 , 178.6340
-0.0007 , 161.9965
-0.0007 , 142.2942
0.0000 , 122.5919
0.0000 , 102.0140
0.0000 , 81.4361
0.0007 , 61.2960
0.0000 , 40.7180
0.0000 , 21.0158
