ADS1-900-700,
X,Y
0.9935 , 208.2240
0.9747 , 205.1619
0.9490 , 203.6308
0.8997 , 201.8810
0.8740 , 201.8810
0.8509 , 201.2248
0.8259 , 201.4436
0.8002 , 201.2248
0.7499 , 200.3500
0.6992 , 199.6938
0.6511 , 198.3815
0.6004 , 198.3815
0.5501 , 197.5066
0.5005 , 196.8504
0.4502 , 195.7568
0.4010 , 194.8819
0.3011 , 194.0070
0.2508 , 192.6947
0.2009 , 192.0385
0.1603 , 190.5074
0.1422 , 190.0700
0.1205 , 188.7577
0.1013 , 188.3202
0.0811 , 187.0079
0.0724 , 186.3517
0.0503 , 183.9458
0.0286 , 180.2275
0.0116 , 174.9781
0.0018 , 160.7612
0.0011 , 142.8259
0.0011 , 122.2660
-0.0004 , 101.0499
0.0004 , 82.4584
0.0004 , 61.2423
-0.0004 , 40.4637
-0.0004 , 20.7787
