SBP10,
X,Y
-0.0000 , 156.9908
0.0000 , 109.3818
0.0000 , 72.5466
-0.0009 , 36.3935
0.0013 , 245.8135
0.0002 , 200.2136
0.0005 , 6.4069
0.0041 , 298.1142
0.0101 , 337.3312
0.0236 , 374.2316
0.0382 , 397.9307
0.0528 , 418.7173
0.0675 , 437.3394
0.0821 , 452.0616
0.0968 , 466.6043
0.1114 , 478.0050
0.1260 , 489.5852
0.1407 , 502.7685
0.1553 , 513.8409
0.1700 , 521.8663
0.1846 , 531.4896
0.1992 , 540.7538
0.2139 , 548.5338
0.2285 , 556.1043
0.2432 , 563.8963
0.2578 , 569.4800
0.2724 , 575.4047
0.2871 , 581.9399
0.3017 , 585.9855
0.3164 , 593.7177
0.3310 , 595.9074
0.3456 , 602.5151
0.3603 , 605.5429
0.3749 , 611.2526
0.3896 , 615.7773
0.4042 , 621.4564
0.4188 , 626.6440
0.4335 , 632.8871
0.4481 , 638.2792
0.4628 , 643.8988
0.4774 , 651.6189
0.4915 , 649.9202
0.5062 , 662.3913
0.5227 , 660.8203
0.5365 , 663.6480
0.5539 , 670.2746
0.5674 , 672.9481
0.5932 , 680.5573
0.6066 , 686.2699
0.6275 , 690.8781
0.6599 , 703.3061
0.6806 , 712.2432
0.6964 , 717.1865
0.7255 , 728.6231
0.7345 , 733.6083
0.7548 , 743.1039
0.7639 , 744.3956
0.7838 , 756.7538
0.7969 , 760.4194
0.8147 , 771.7304
0.8326 , 780.5155
0.8481 , 789.3252
0.8664 , 800.2984
0.8811 , 807.5483
0.8971 , 819.5414
0.9114 , 825.4723
0.9260 , 832.1451
0.9407 , 833.8508
0.9553 , 839.0514
0.9700 , 844.3922
0.9846 , 854.6847
0.9980 , 875.2345
0.9998 , 927.7945
