BAG,
X,Y
0.0004 , 278.1112
-0.0009 , 216.9234
-0.0010 , 171.0987
-0.0010 , 125.5277
-0.0002 , 64.1402
-0.0003 , 17.4161
0.1940 , 504.5084
0.2989 , 522.6711
0.3502 , 531.5654
0.4027 , 537.3681
0.5002 , 541.7897
0.5516 , 548.8704
0.5935 , 548.8704
0.6438 , 551.2886
0.6942 , 555.1047
0.2500 , 517.3745
0.1353 , 487.7735
0.1017 , 476.1905
0.0823 , 465.8945
0.0584 , 450.4505
0.0292 , 422.1364
0.0119 , 388.6744
0.0065 , 365.5084
0.0022 , 348.7773
0.0022 , 335.9073
0.0011 , 323.0373
0.0011 , 308.8803
0.0000 , 293.4363
0.0000 , 266.4093
0.0011 , 249.6782
0.0000 , 234.2342
0.0000 , 187.9022
0.0000 , 155.7272
0.0000 , 142.8571
0.0000 , 110.6821
-0.0005 , 93.9511
0.0000 , 79.7941
0.0000 , 46.3320
0.0000 , 32.1750
0.4502 , 541.8275
0.7359 , 558.5586
0.7673 , 562.4196
0.8149 , 568.8546
0.7955 , 564.9936
0.8344 , 570.1416
0.8539 , 572.7156
0.8712 , 576.5766
0.8864 , 579.1506
0.9004 , 585.5856
0.9134 , 588.1596
0.9232 , 594.5946
0.9535 , 612.6126
0.9383 , 603.6036
0.9643 , 626.7696
0.9751 , 635.7786
0.9838 , 646.0746
0.9903 , 655.0837
0.0000 , 203.3462
