PAC-0.2K2CO3-750-0.5,
X,Y
0.0158 , 67.3550
0.0294 , 72.6058
0.0528 , 74.8667
0.0731 , 76.1997
0.1001 , 77.7566
0.1242 , 78.4139
0.1492 , 79.4565
0.1733 , 79.8090
0.1974 , 80.4061
0.2224 , 80.8432
0.2455 , 81.5365
0.2715 , 81.8775
0.2951 , 82.3942
0.3136 , 82.4031
0.3417 , 83.3430
0.3647 , 83.2218
0.3859 , 83.5496
0.4086 , 84.0370
0.4295 , 84.2676
0.4524 , 84.7639
0.4751 , 84.8631
0.4990 , 85.4481
0.5231 , 85.6803
0.5472 , 86.0449
0.5722 , 86.4980
0.5963 , 86.8626
0.6213 , 87.3158
0.6450 , 87.6360
0.6679 , 88.1323
0.6891 , 88.3630
0.7120 , 88.6388
0.7334 , 89.0770
0.7556 , 89.4152
0.7768 , 89.8611
0.7998 , 90.5464
0.8227 , 91.3389
0.8472 , 92.2417
0.8689 , 93.6067
0.8943 , 94.0830
0.9139 , 95.7578
0.9364 , 96.0213
0.9589 , 98.4862
0.9833 , 102.4173
0.9961 , 105.9963
