PAC-0.2KOH-750-0.5,
X,Y
0.9927 , 76.2557
0.9765 , 71.1672
0.9616 , 69.4664
0.9485 , 68.2504
0.9366 , 68.0027
0.9236 , 67.7545
0.8992 , 66.2911
0.8749 , 65.7955
0.8500 , 65.5415
0.8195 , 65.0428
0.7989 , 64.3070
0.7484 , 63.3149
0.6998 , 63.2913
0.6493 , 63.0250
0.5994 , 62.5170
0.5489 , 62.2506
0.5003 , 61.9851
0.4491 , 61.4765
0.3993 , 61.2105
0.3488 , 60.7022
0.3001 , 60.1948
0.2503 , 59.9287
0.2004 , 59.4207
0.1493 , 58.6701
0.1000 , 57.6786
0.0739 , 56.6982
0.0620 , 55.7247
0.0227 , 53.2863
0.0004 , 31.5013
-0.0008 , 23.7588
