PAC-0.2KOH-750-0.5,
X,Y
0.0292 , 52.9580
0.0619 , 55.2123
0.0946 , 56.4935
0.1266 , 57.7000
0.1601 , 57.8898
0.1928 , 58.5508
0.2256 , 59.2613
0.2583 , 59.4260
0.2910 , 59.6403
0.3238 , 60.6734
0.3565 , 60.2675
0.3892 , 60.1097
0.4220 , 61.2172
0.4547 , 61.1586
0.4874 , 61.4970
0.5202 , 62.4275
0.5529 , 61.9008
0.5856 , 62.2640
0.6184 , 63.7139
0.6511 , 62.9755
0.6838 , 64.4784
0.7166 , 64.7884
0.7493 , 64.7797
0.7820 , 65.0387
0.8148 , 64.5086
0.8465 , 65.3262
0.8794 , 65.5784
0.9130 , 66.9877
0.9457 , 68.3185
0.9784 , 72.2545
0.9989 , 76.2838
0.0196 , 48.9300
0.0035 , 33.4383
-0.0002 , 24.2430
-0.0002 , 17.4688
