PAC-750-0.5h,
X,Y
0.0048 , 6.1132
0.0268 , 22.0719
0.0586 , 24.7509
0.0865 , 26.4515
0.1166 , 26.9112
0.1434 , 27.5377
0.1745 , 27.7513
0.2044 , 28.3612
0.2325 , 28.4830
0.2634 , 29.0393
0.2915 , 29.1973
0.3178 , 29.2100
0.3537 , 30.0213
0.3818 , 30.1071
0.4127 , 30.3747
0.4408 , 31.0890
0.4732 , 31.0385
0.5032 , 31.4170
0.5315 , 31.8276
0.5620 , 32.3957
0.5902 , 32.6830
0.6202 , 33.2599
0.6452 , 33.3823
0.6737 , 34.1460
0.6983 , 33.7609
0.7395 , 34.9718
0.7704 , 34.9867
0.7957 , 35.3165
0.8232 , 36.2032
0.8498 , 36.8777
0.8821 , 38.6857
0.9110 , 39.5916
0.9397 , 40.7397
0.9683 , 42.9653
0.9918 , 47.0473
