PAC-1.5K2CO3-750-0.5,
X,Y
-0.0015 , 177.5408
-0.0023 , 99.5585
-0.0011 , 194.5120
0.0233 , 227.8638
0.0122 , 210.6798
0.0172 , 217.2324
0.0540 , 233.9498
0.0847 , 238.5431
0.1158 , 240.3900
0.1460 , 242.2250
0.1760 , 243.6800
0.2074 , 244.5837
0.2381 , 245.8953
0.2686 , 246.8156
0.2995 , 247.0630
0.3301 , 247.9512
0.3608 , 248.3630
0.3918 , 249.1153
0.4231 , 249.8109
0.4523 , 251.1011
0.4871 , 250.9194
0.5116 , 250.2621
0.5527 , 250.9795
0.5837 , 251.1930
0.6153 , 251.6620
0.6447 , 252.3480
0.6742 , 252.6066
0.7061 , 253.0190
0.7373 , 253.5925
0.7685 , 254.2881
0.7986 , 255.2706
0.8293 , 256.3024
0.8599 , 256.5441
0.8917 , 257.6181
0.9214 , 259.6173
0.9521 , 262.6816
0.9827 , 271.2405
0.9925 , 276.3362
0.9676 , 266.1629
0.9377 , 261.3097
-0.0020 , 145.6937
-0.0008 , 159.7266
-0.0019 , 131.6615
-0.0006 , 115.2105
-0.0026 , 8.7579
-0.0027 , 16.9837
-0.0039 , 25.6928
-0.0027 , 32.9514
-0.0003 , 39.2429
-0.0028 , 48.4353
-0.0016 , 56.1778
-0.0029 , 65.3707
-0.0017 , 73.1132
-0.0017 , 80.3713
-0.0030 , 88.1126
