CTPC,
X,Y
0.0097 , 101.4333
0.0278 , 107.5075
0.0650 , 111.6774
0.0805 , 113.0323
0.1013 , 114.1935
0.1215 , 115.3548
0.1407 , 116.5161
0.1614 , 117.6774
0.1811 , 118.4516
0.2008 , 119.2258
0.2506 , 120.9677
0.3014 , 122.5161
0.3507 , 124.2581
0.4000 , 125.8065
0.4492 , 127.3548
0.5001 , 128.7097
0.5499 , 130.4516
0.6002 , 131.6129
0.6505 , 133.1613
0.7003 , 134.7097
0.7506 , 136.0645
0.8004 , 137.4194
0.8195 , 138.1935
0.8507 , 139.3548
0.8750 , 140.3226
0.8999 , 141.4839
0.9248 , 143.0323
0.9497 , 144.7742
0.9736 , 147.8710
0.9808 , 150.1935
0.9901 , 154.0645
0.9911 , 160.4516
