CTZnPC,
X,Y
0.0200 , 218.6320
0.0400 , 226.2585
0.0600 , 230.5159
0.0800 , 232.3228
0.1000 , 233.6947
0.1200 , 234.9641
0.1400 , 236.1101
0.1600 , 236.8785
0.1800 , 237.7341
0.2000 , 238.1793
0.2200 , 238.5495
0.2400 , 239.4558
0.2600 , 240.1038
0.2800 , 240.5133
0.3000 , 240.6019
0.3200 , 240.8502
0.3400 , 241.5524
0.3600 , 242.0148
0.3800 , 242.3960
0.4000 , 242.5339
0.4200 , 242.4135
0.4400 , 242.8041
0.4600 , 243.8413
0.4800 , 244.5272
0.5000 , 244.2830
0.5200 , 243.8274
0.5400 , 244.5563
0.5600 , 245.0229
0.5800 , 245.0695
0.6000 , 245.8624
0.6200 , 246.3106
0.6400 , 246.1453
0.6600 , 246.1106
0.6800 , 246.5815
0.7000 , 246.5183
0.7200 , 246.6553
0.7400 , 247.3441
0.7600 , 247.3347
0.7800 , 247.3384
0.8000 , 247.8348
0.8200 , 248.2234
0.8400 , 248.7782
0.8600 , 249.1097
0.8800 , 249.2247
0.9000 , 249.7233
0.9200 , 250.5629
0.9400 , 252.0259
0.9600 , 254.2990
0.9800 , 259.6288
