GACA,
X,Y
0.0005 , 120.8172
0.0003 , 98.0900
0.0049 , 135.2327
0.0022 , 77.0706
0.0005 , 67.4178
0.0018 , 107.0782
0.0141 , 145.3222
0.0342 , 150.5749
0.0546 , 152.2077
0.0749 , 153.9389
0.0953 , 155.3554
0.1156 , 157.1062
0.1360 , 158.2669
0.1563 , 159.1129
0.1767 , 159.9195
0.1971 , 160.8637
0.2174 , 161.4736
0.2378 , 162.1622
0.2581 , 162.7917
0.2785 , 163.4606
0.2989 , 164.3065
0.3192 , 164.6409
0.3396 , 165.2311
0.3599 , 165.8410
0.3803 , 166.5295
0.4006 , 166.1361
0.4210 , 167.6023
0.4414 , 167.3951
0.4617 , 167.9066
0.4821 , 168.4968
0.5024 , 168.4968
0.5228 , 169.5591
0.5431 , 170.0903
0.5635 , 170.6805
0.5839 , 171.0346
0.6042 , 171.3100
0.6246 , 172.3723
0.6449 , 173.0019
0.6653 , 173.6314
0.6856 , 174.2806
0.7060 , 174.8511
0.7264 , 175.5987
0.7467 , 176.3069
0.7671 , 176.9758
0.7874 , 177.7234
0.8078 , 178.0775
0.8282 , 179.3759
0.8485 , 180.1628
0.8689 , 181.4218
0.8892 , 182.3425
0.9096 , 183.4481
0.9299 , 186.2023
0.9503 , 188.6614
0.9707 , 191.2583
0.9910 , 194.1305
1.0031 , 194.8977
