Xp0.80,
X,Y
0.0167 , 138.6533
0.0332 , 146.8501
0.0482 , 152.8925
0.0716 , 160.6072
0.0973 , 166.6070
0.1231 , 171.5614
0.1489 , 175.8947
0.1747 , 179.7920
0.2012 , 183.5786
0.2263 , 186.9569
0.2521 , 190.2913
0.2778 , 193.6758
0.3036 , 196.8117
0.3316 , 200.6946
0.3812 , 206.4789
0.4863 , 219.2743
0.5101 , 221.6196
0.5374 , 225.7858
0.5631 , 228.4724
0.5890 , 232.6607
0.6148 , 235.5562
0.6408 , 239.7531
0.6664 , 242.6544
0.6922 , 246.7473
0.7171 , 249.6752
0.7450 , 254.0349
0.7691 , 256.4951
0.7953 , 260.4808
0.8206 , 262.6186
0.8469 , 265.9809
0.8718 , 268.2960
0.8985 , 271.5240
0.3604 , 203.2698
0.4131 , 209.5640
0.4416 , 213.4605
0.4627 , 216.1580
0.0084 , 125.9401
0.0022 , 117.8474
0.0024 , 101.0627
-0.0005 , 82.7793
0.0020 , 54.9046
