N3,
X,Y
0.0400 , 3.8967
0.0600 , 4.0373
0.0800 , 4.1693
0.1000 , 4.2612
0.1200 , 4.3243
0.1400 , 4.3779
0.1600 , 4.4245
0.1800 , 4.4685
0.2000 , 4.5068
0.2200 , 4.5392
0.2400 , 4.5643
0.2600 , 4.5777
0.2800 , 4.5827
0.3000 , 4.5901
0.3200 , 4.5989
0.3400 , 4.6089
0.3600 , 4.6203
0.3800 , 4.6312
0.4000 , 4.6415
0.4200 , 4.6523
0.4400 , 4.6569
0.4600 , 4.6620
0.4800 , 4.6707
0.5000 , 4.6803
0.5200 , 4.6883
0.5400 , 4.6923
0.5600 , 4.6898
0.5800 , 4.6858
0.6000 , 4.6876
0.6200 , 4.6958
0.6400 , 4.7062
0.6600 , 4.7148
0.6800 , 4.7191
0.7000 , 4.7197
0.7200 , 4.7232
0.7400 , 4.7343
0.7600 , 4.7477
0.7800 , 4.7594
0.8000 , 4.7693
0.8200 , 4.7752
0.8450 , 4.7636
0.0032 , 3.5562
