N8,
X,Y
0.0278 , 6.0546
0.0533 , 6.1597
0.0790 , 6.2609
0.1047 , 6.3248
0.1304 , 6.3640
0.1561 , 6.3924
0.1818 , 6.4467
0.2060 , 6.4257
0.2332 , 6.4692
0.2589 , 6.4814
0.2846 , 6.5030
0.3103 , 6.5180
0.3360 , 6.5372
0.3617 , 6.5552
0.3874 , 6.5522
0.4123 , 6.5835
0.4406 , 6.6090
0.4645 , 6.6381
0.4903 , 6.6476
0.5160 , 6.6316
0.5417 , 6.6314
0.5674 , 6.6311
0.5931 , 6.6405
0.6188 , 6.6508
0.6445 , 6.6601
0.6702 , 6.6897
0.6959 , 6.7081
0.7216 , 6.7216
0.7473 , 6.7239
0.7730 , 6.7227
0.7987 , 6.7311
0.8228 , 6.7189
