S2,
X,Y
0.1000 , 4.1247
0.1200 , 4.1952
0.1400 , 4.2366
0.1600 , 4.2589
0.1800 , 4.2760
0.2000 , 4.2967
0.2200 , 4.3190
0.2400 , 4.3396
0.2600 , 4.3565
0.2800 , 4.3712
0.3000 , 4.3848
0.3200 , 4.3980
0.3400 , 4.4096
0.3600 , 4.4185
0.3800 , 4.4245
0.4000 , 4.4292
0.4200 , 4.4344
0.4400 , 4.4413
0.4600 , 4.4498
0.4800 , 4.4599
0.5000 , 4.4712
0.5200 , 4.4826
0.5400 , 4.4928
0.5600 , 4.5011
0.5800 , 4.5080
0.6000 , 4.5138
0.6200 , 4.5189
0.6400 , 4.5238
0.6600 , 4.5286
0.6800 , 4.5340
0.7000 , 4.5407
0.7200 , 4.5498
0.7400 , 4.5611
0.7600 , 4.5703
0.7801 , 4.5701
0.7979 , 4.5904
0.8132 , 4.5902
0.0744 , 4.0766
0.0324 , 3.7807
0.0172 , 3.5662
0.0070 , 3.4233
0.0401 , 3.8726
0.0553 , 3.9542
0.0021 , 2.2073
0.0023 , 1.2263
