AC-1mw,
X,Y
0.0108 , 89.5493
0.0356 , 93.7753
0.0604 , 95.9843
0.0852 , 97.4090
0.1100 , 98.2254
0.1348 , 98.8977
0.1596 , 99.9334
0.1844 , 100.6146
0.2092 , 101.5822
0.2340 , 102.6527
0.2589 , 102.7396
0.2837 , 103.5320
0.3085 , 103.5696
0.3333 , 104.1035
0.3581 , 103.7604
0.3829 , 104.1205
0.4077 , 103.6766
0.4325 , 103.7321
0.4573 , 104.4017
0.4821 , 104.7640
0.5069 , 104.5004
0.5317 , 104.8206
0.5565 , 105.0447
0.5813 , 105.3328
0.6061 , 105.4609
0.6309 , 105.9891
0.6558 , 105.9571
0.6806 , 106.7351
0.7054 , 106.2773
0.7302 , 107.2073
0.7550 , 106.8856
0.7798 , 107.6603
0.8043 , 107.6674
0.8294 , 108.8186
0.8535 , 109.0090
0.8790 , 109.5120
0.9038 , 109.9142
0.9286 , 110.2162
0.9534 , 111.4096
0.9782 , 113.1606
0.9986 , 115.2825
