AC-2,
X,Y
0.0143 , 92.2866
0.0478 , 93.6530
0.0764 , 93.5332
0.1047 , 95.0039
0.1331 , 95.4941
0.1614 , 96.2925
0.1898 , 96.5446
0.2181 , 97.7469
0.2465 , 97.5488
0.2748 , 98.2348
0.3032 , 97.8332
0.3315 , 97.9033
0.3599 , 97.5671
0.3882 , 98.3314
0.4166 , 97.5601
0.4449 , 98.4892
0.4733 , 98.0013
0.5016 , 98.0928
0.5300 , 97.9406
0.5583 , 98.6708
0.5867 , 98.0200
0.6150 , 97.9219
0.6434 , 98.0363
0.6717 , 97.8849
0.7001 , 97.9593
0.7284 , 97.4410
0.7568 , 97.3710
0.7851 , 97.5111
0.8135 , 97.2029
0.8418 , 97.5391
0.8702 , 98.0853
0.8985 , 98.5732
0.9269 , 98.1134
0.9552 , 98.2954
0.9836 , 99.9457
1.0030 , 101.5870
