AC-1-OX,
X,Y
0.9888 , 228.7618
0.9952 , 230.2099
0.9805 , 227.4671
0.9727 , 225.9868
0.9493 , 221.8750
0.9239 , 218.7500
0.8999 , 215.4605
0.8745 , 212.5000
0.8505 , 209.7039
0.8205 , 206.4145
0.7991 , 204.2763
0.7490 , 199.5066
0.6990 , 195.0658
0.6495 , 191.2829
0.5988 , 187.5000
0.5501 , 184.3750
0.5007 , 181.5789
0.4506 , 178.6184
0.3999 , 176.1513
0.3511 , 173.6842
0.3017 , 171.0526
0.2490 , 168.5855
0.2016 , 165.9539
0.1808 , 164.4737
0.1606 , 162.6645
0.1411 , 161.0197
0.1209 , 159.0461
0.1008 , 157.0724
0.0806 , 154.6053
0.0644 , 151.6447
0.0338 , 143.7500
0.0111 , 130.7566
