AC-1-OXmw,
X,Y
0.0117 , 126.8092
0.0312 , 139.8026
0.0605 , 148.3553
0.0800 , 152.3026
0.1014 , 155.5921
0.1196 , 158.0592
0.1404 , 160.5263
0.1619 , 162.6645
0.1801 , 164.3092
0.2016 , 166.1184
0.2490 , 170.0658
0.3017 , 173.3553
0.3492 , 176.4803
0.3992 , 180.0987
0.4499 , 183.2237
0.4993 , 186.3487
0.5501 , 190.2961
0.5995 , 193.4211
0.6502 , 197.8618
0.6996 , 202.6316
0.7490 , 207.8947
0.7984 , 213.4868
0.8199 , 216.2829
0.8492 , 219.9013
0.8745 , 224.0132
0.8992 , 226.9737
0.9239 , 230.5921
0.9493 , 234.8684
0.9733 , 239.4737
0.9818 , 241.2829
0.9896 , 243.7500
0.9948 , 245.3947
