NDC-600,
X,Y
0.0027 , 6.3035
0.0209 , 14.7956
0.0407 , 19.9119
0.0617 , 22.8175
0.0877 , 24.6244
0.1167 , 26.5420
0.1358 , 27.6669
0.1608 , 29.7267
0.1828 , 30.9687
0.2169 , 32.9685
0.2359 , 33.7926
0.2649 , 35.2379
0.2839 , 36.2067
0.3150 , 37.6591
0.3340 , 38.4526
0.3650 , 39.3490
0.3861 , 39.5250
0.4171 , 41.4445
0.4391 , 41.9451
0.4612 , 42.5778
0.4832 , 42.8753
0.5052 , 43.4166
0.5273 , 44.0493
0.5493 , 44.7733
0.5713 , 45.4669
0.5934 , 46.3128
0.6154 , 46.7932
0.6374 , 47.2126
0.6594 , 47.9062
0.6815 , 49.2396
0.7035 , 50.2988
0.7255 , 50.4744
0.7476 , 50.8329
0.7696 , 52.2882
0.7916 , 54.3223
0.8136 , 55.8080
0.8357 , 57.1719
0.8577 , 58.7186
0.8797 , 60.5902
0.9017 , 62.5532
0.9238 , 65.8873
0.9388 , 67.3296
