CF-1.5-400,
X,Y
0.0072 , 237.1367
0.0273 , 282.8864
0.0513 , 310.2330
0.0748 , 328.7319
0.0965 , 349.3268
0.1201 , 367.1459
0.1447 , 386.1863
0.1703 , 406.8390
0.1917 , 421.2176
0.2306 , 449.9641
0.2529 , 462.5466
0.2909 , 488.0686
0.3317 , 516.3760
0.3541 , 528.0932
0.3907 , 553.6925
0.4483 , 590.1833
0.4727 , 598.9171
0.5106 , 618.1498
0.5514 , 637.4472
0.5923 , 655.7249
0.6146 , 662.7045
0.6506 , 677.9164
0.6729 , 684.5788
0.7108 , 697.6340
0.7516 , 710.8716
0.7905 , 723.9719
0.8138 , 730.2813
0.8527 , 743.9165
0.8741 , 749.0546
0.9110 , 760.7331
0.9363 , 767.9696
0.9616 , 776.7064
0.9868 , 780.9424
0.1081 , 360.7143
