CF-1.0-400,
X,Y
0.0087 , 241.2792
0.0167 , 259.7269
0.0314 , 286.4458
0.0623 , 316.6348
0.1693 , 395.8528
0.1887 , 408.2432
0.2101 , 419.1294
0.2296 , 429.5821
0.2490 , 439.8309
0.2685 , 449.0090
0.2882 , 455.8670
0.3073 , 465.0706
0.3275 , 472.0136
0.3462 , 478.2258
0.3656 , 484.4210
0.3851 , 489.6218
0.4050 , 494.1939
0.4249 , 496.8496
0.4434 , 501.6298
0.4628 , 504.6127
0.4839 , 507.3661
0.5018 , 509.3906
0.5206 , 511.8014
0.5389 , 514.0857
0.5592 , 516.7527
0.5798 , 518.1248
0.5982 , 519.8766
0.6167 , 520.8390
0.6377 , 522.8158
0.6571 , 524.0395
0.6765 , 526.1811
0.6959 , 527.3283
0.7154 , 529.3169
0.7341 , 529.4189
0.7535 , 530.2524
0.7727 , 531.1270
0.7931 , 532.1686
0.8128 , 532.6567
0.8322 , 535.0393
0.8506 , 536.1518
0.8707 , 536.6385
0.8899 , 537.2585
0.9100 , 538.0233
0.9297 , 538.9156
0.9485 , 540.8659
0.9686 , 540.4453
0.9880 , 541.8475
0.9990 , 543.3134
0.1490 , 383.9286
0.1183 , 360.7143
0.1319 , 371.4286
0.0933 , 342.8571
0.0422 , 298.2143
