coconut_shells_800stC,
X,Y
0.9739 , 51.6561
0.9528 , 49.1013
0.9441 , 47.2974
0.9279 , 45.0430
0.9012 , 43.3909
0.8757 , 41.5131
0.8527 , 40.3870
0.8042 , 38.4358
0.7508 , 36.7857
0.7023 , 34.9848
0.6526 , 33.6351
0.6022 , 32.0600
0.5550 , 30.7102
0.5003 , 29.3609
0.4481 , 28.0114
0.4127 , 26.9615
0.3605 , 25.6120
0.3101 , 24.4128
0.2902 , 23.9631
0.2474 , 23.4400
0.2200 , 22.7654
0.1970 , 22.3912
0.1790 , 21.7159
0.1498 , 20.8910
0.1218 , 20.4420
0.0994 , 19.7670
0.0783 , 18.7911
0.0522 , 16.9134
