2h,
X,Y
0.9890 , 41.8114
0.9807 , 37.0968
0.9713 , 34.2432
0.9603 , 32.1340
0.9459 , 30.6452
0.9195 , 28.2878
0.8969 , 26.6749
0.8698 , 25.4342
0.8494 , 24.3176
0.7970 , 22.4566
0.7507 , 20.7196
0.6999 , 19.1067
0.6442 , 17.4938
0.5974 , 16.3772
0.5527 , 15.5087
0.4997 , 14.0199
0.4446 , 13.1514
0.3960 , 12.1588
0.3475 , 11.4144
0.2990 , 10.4218
0.2741 , 10.1737
0.2488 , 9.8015
0.2239 , 9.0571
0.2008 , 8.6849
0.1743 , 8.3127
0.1489 , 7.9404
0.1247 , 7.4442
0.1009 , 7.1960
0.0789 , 6.6998
0.0596 , 5.3350
0.0419 , 3.4739
0.0325 , 1.3648
