bengkirai_wood_6h,
X,Y
0.9901 , 64.1439
0.9823 , 56.8238
0.9724 , 52.7295
0.9597 , 49.5037
0.9443 , 46.7742
0.9217 , 44.7891
0.8991 , 42.5558
0.8693 , 40.9429
0.8489 , 39.3300
0.7998 , 37.3449
0.7457 , 35.4839
0.6966 , 33.4988
0.6509 , 31.7618
0.6012 , 30.5211
0.5477 , 28.9082
0.4986 , 27.7916
0.4512 , 26.1787
0.3988 , 24.9380
0.3447 , 23.8213
0.3034 , 22.4566
0.2725 , 22.0844
0.2466 , 21.3400
0.2217 , 20.7196
0.1969 , 20.2233
0.1721 , 19.6030
0.1462 , 18.9826
0.1224 , 18.6104
0.1031 , 17.7419
0.0772 , 16.6253
0.0623 , 16.5012
0.0518 , 14.7643
