AC-313.15-10-900-10,
X,Y
0.9833 , 332.3751
0.9569 , 328.8603
0.9401 , 325.7821
0.9137 , 324.0305
0.8952 , 322.7162
0.8653 , 320.5254
0.8485 , 318.3287
0.8151 , 315.6986
0.7957 , 313.9440
0.7622 , 311.7547
0.7481 , 309.9977
0.7120 , 306.4872
0.6970 , 305.6121
0.6574 , 302.1032
0.6415 , 300.7877
0.6081 , 297.7168
0.5913 , 295.9610
0.5570 , 293.3313
0.5411 , 292.0159
0.5076 , 290.2674
0.4900 , 288.5120
0.4689 , 286.3172
0.4530 , 284.5610
0.4257 , 281.9282
0.4046 , 279.7335
0.3764 , 276.6603
0.3597 , 274.4636
0.3279 , 272.7144
0.3112 , 270.5177
0.2910 , 269.2042
0.2725 , 267.0084
0.2478 , 264.8152
0.2293 , 263.5009
0.2117 , 262.1863
0.1967 , 260.8705
0.1835 , 259.1131
0.1659 , 257.3576
0.1456 , 255.6033
0.1342 , 255.1676
0.1174 , 252.9709
0.0945 , 249.8954
0.0822 , 246.8152
0.0655 , 244.1777
0.0496 , 239.3358
0.0417 , 234.0496
0.0285 , 228.7658
0.0215 , 223.4792
0.0153 , 215.1066
0.0092 , 205.8524
0.0074 , 196.5962
0.0057 , 186.8993
0.0048 , 178.5243
0.0040 , 172.3534
0.0031 , 163.9785
0.0023 , 154.2811
0.0014 , 147.2286
