AC-313.15-10-900-10,
X,Y
0.9903 , 333.6944
0.9494 , 327.5412
0.9027 , 323.3741
0.8556 , 319.2072
0.8049 , 315.0419
0.7556 , 310.6556
0.7036 , 306.0500
0.6490 , 301.8865
0.5997 , 297.0593
0.5495 , 293.1142
0.4988 , 289.1693
0.4601 , 285.2191
0.4129 , 280.8318
0.3667 , 275.7829
0.3191 , 271.1754
0.2821 , 268.3265
0.2377 , 264.1585
0.2042 , 261.5284
0.1738 , 258.6765
0.1518 , 256.2618
0.1267 , 253.4076
0.0994 , 250.7748
0.0729 , 245.7172
0.0567 , 241.9775
0.0465 , 237.3535
0.0333 , 231.6289
0.0245 , 225.9023
0.0188 , 219.5131
0.0122 , 210.9203
0.0074 , 199.9023
0.0066 , 183.1520
