Ubtreated,
X,Y
0.9907 , 176.3265
0.9811 , 170.1595
0.9555 , 159.1506
0.9062 , 150.3562
0.8877 , 148.1603
0.8358 , 143.7752
0.8164 , 142.9021
0.7679 , 139.3970
0.7477 , 138.9651
0.6966 , 135.9020
0.6798 , 135.9094
0.6261 , 132.8474
0.6085 , 131.9736
0.5556 , 128.4704
0.5362 , 128.9198
0.4860 , 126.2971
0.4666 , 126.3056
0.4164 , 123.6829
0.3970 , 122.3691
0.3671 , 121.0598
0.3477 , 120.6276
0.2931 , 117.1252
0.2728 , 115.8117
0.2209 , 113.6306
0.1997 , 111.8767
0.1345 , 107.4974
0.1196 , 107.0632
0.1090 , 105.7454
0.0949 , 104.4292
0.0729 , 100.9125
0.0826 , 102.6714
0.0561 , 99.1566
0.0456 , 96.5164
0.0350 , 93.4355
0.0244 , 89.0320
0.0139 , 84.1878
0.0104 , 78.4589
0.0033 , 71.4091
0.0016 , 63.9162
