f1,
X,Y
0.0557 , 280.1259
0.0728 , 289.0816
0.0931 , 299.0405
0.1045 , 303.3914
0.1216 , 309.8695
0.1425 , 316.4765
0.1579 , 320.9886
0.1699 , 323.6959
0.1855 , 327.5634
0.2014 , 330.9475
0.2158 , 333.8481
0.2395 , 338.4013
0.2539 , 340.9855
0.2683 , 343.2005
0.2827 , 345.1694
0.2972 , 347.2614
0.3116 , 348.7996
0.3260 , 350.6455
0.3405 , 351.7530
0.3549 , 353.2481
0.3693 , 354.7064
0.3838 , 355.9985
0.3982 , 357.1060
0.4126 , 358.5211
0.4265 , 359.3979
0.4408 , 360.0747
0.4559 , 360.7567
0.4707 , 361.3269
0.4808 , 361.5976
0.5005 , 362.7256
0.5333 , 364.3048
0.5477 , 364.9201
0.5621 , 365.6585
0.5707 , 365.6585
0.6028 , 367.0736
0.6168 , 367.4633
0.6316 , 368.3657
0.6469 , 369.4486
0.6659 , 369.9732
0.6789 , 369.7194
0.6938 , 370.9376
0.7070 , 371.3738
0.7221 , 372.4266
0.7353 , 373.7803
0.7503 , 373.8931
0.7694 , 374.5924
0.7799 , 375.1339
0.8025 , 376.9613
0.8168 , 377.4351
0.8293 , 378.0668
0.8453 , 380.8304
0.8599 , 382.0374
0.8740 , 385.3313
0.8884 , 384.6093
0.9053 , 388.2049
0.9206 , 388.8733
0.9358 , 392.6183
0.9506 , 394.7616
0.9661 , 398.9455
0.9806 , 404.4277
0.9930 , 409.9899
