AC-2,
X,Y
-0.0032 , 100.5090
-0.0012 , 1.5623
0.0006 , 122.8808
-0.0019 , 79.4146
-0.0004 , 58.0445
0.0006 , 39.3734
-0.0004 , 20.9039
0.0040 , 144.1186
0.0094 , 167.5723
0.0335 , 177.5890
0.0573 , 180.9298
0.0812 , 182.8735
0.1050 , 184.0883
0.1288 , 185.1209
0.1526 , 185.8498
0.1764 , 186.6394
0.2003 , 186.6191
0.2241 , 186.0016
0.2479 , 187.3075
0.2717 , 188.7046
0.2956 , 189.2512
0.3194 , 190.7090
0.3432 , 190.6483
0.3670 , 191.7821
0.3908 , 192.5312
0.4147 , 192.8147
0.4385 , 192.3186
0.4623 , 192.3490
0.4861 , 192.3490
0.5100 , 193.0172
0.5338 , 193.3209
0.5576 , 193.0779
0.5814 , 193.3816
0.6053 , 193.5638
0.6291 , 194.2927
0.6529 , 194.4749
0.6767 , 194.7179
0.7006 , 194.4749
0.7244 , 194.9609
0.7482 , 194.7786
0.7720 , 195.3860
0.7958 , 195.0216
0.8197 , 195.3860
0.8435 , 195.1431
0.8673 , 195.5075
0.8911 , 195.8112
0.9150 , 195.7505
0.9388 , 195.9327
0.9626 , 196.2364
0.9864 , 196.6616
1.0016 , 197.3905
