AC-NH4OH,
X,Y
0.9928 , 164.4562
0.9808 , 164.4562
0.9692 , 164.1910
0.9477 , 163.9257
0.9210 , 163.9257
0.8983 , 163.9257
0.8862 , 163.9257
0.8561 , 163.9257
0.8204 , 163.9257
0.8007 , 163.6605
0.7517 , 163.3952
0.7392 , 163.9257
0.7001 , 162.8647
0.6506 , 162.5995
0.6003 , 162.5995
0.5496 , 162.8647
0.5002 , 162.5995
0.4499 , 162.3342
0.3996 , 161.8037
0.3510 , 161.8037
0.3003 , 160.7427
0.2500 , 159.6817
0.2418 , 160.4775
0.2009 , 159.1512
0.1807 , 158.6207
0.1605 , 158.3554
0.1412 , 157.8249
0.1219 , 156.7639
0.1016 , 156.2334
0.0827 , 155.7029
0.0634 , 154.3767
0.0355 , 152.2546
0.0058 , 140.8488
