AC-Na2CO3,
X,Y
0.9868 , 279.0451
0.9464 , 268.4350
0.8974 , 257.2944
0.8476 , 248.8064
0.7977 , 243.5013
0.7479 , 239.7878
0.6972 , 236.6048
0.6482 , 233.9523
0.5992 , 231.8302
0.5476 , 230.2387
0.4977 , 228.1167
0.4479 , 227.5862
0.3993 , 225.1989
0.3486 , 223.3422
0.3013 , 222.2812
0.2475 , 220.1592
0.2235 , 218.3024
0.2011 , 218.3024
0.1814 , 217.2414
0.1620 , 216.7109
0.1418 , 215.1194
0.1238 , 213.7931
0.1023 , 212.2016
0.0838 , 211.1406
0.0567 , 208.2228
0.0301 , 203.1830
0.0163 , 197.8780
0.0002 , 161.8037
-0.0001 , 121.4854
0.0005 , 80.6366
-0.0002 , 40.3183
0.0004 , 1.0610
