AC3-NaOH,
X,Y
0.9975 , 376.6578
0.9812 , 363.9257
0.9521 , 343.2361
0.8939 , 288.0637
0.8450 , 258.3554
0.7479 , 229.1777
0.6981 , 221.7507
0.6491 , 216.4456
0.6001 , 210.6101
0.5503 , 206.3660
0.4996 , 202.6525
0.4497 , 199.4695
0.2481 , 186.4721
0.2223 , 184.6154
0.2004 , 182.2281
0.1819 , 180.9019
0.1617 , 179.5756
0.1415 , 177.9841
0.1209 , 176.3926
0.1007 , 174.0053
0.0801 , 172.4138
0.0577 , 168.9655
0.0277 , 163.1300
0.0114 , 154.9072
0.0020 , 140.3183
0.3023 , 189.6552
0.3508 , 192.5729
0.3999 , 194.6950
0.7969 , 240.8488
