IA3,
X,Y
0.0800 , 101.0878
0.1000 , 102.2995
0.1200 , 102.9615
0.1400 , 103.6788
0.1600 , 104.3452
0.1800 , 104.7990
0.2000 , 105.1020
0.2200 , 105.3544
0.2400 , 105.5517
0.2600 , 105.6853
0.2800 , 105.8241
0.3000 , 106.0231
0.3200 , 106.2579
0.3400 , 106.4925
0.3600 , 106.6674
0.3800 , 106.7562
0.4000 , 106.8012
0.4200 , 106.8479
0.4400 , 106.9397
0.4600 , 107.0870
0.4800 , 107.2140
0.5000 , 107.2502
0.5200 , 107.1950
0.5400 , 107.0726
0.5600 , 106.9590
0.5800 , 106.9054
0.6000 , 106.8731
0.6200 , 106.8317
0.6400 , 106.8130
0.6600 , 106.8317
0.6800 , 106.8371
0.7000 , 106.7739
0.7200 , 106.6190
0.7400 , 106.3906
0.7600 , 106.1498
0.7800 , 105.9665
0.8000 , 105.9444
0.8200 , 106.1167
0.8400 , 106.4672
0.8600 , 106.9125
0.8800 , 107.3494
0.9000 , 107.7130
0.9200 , 107.9331
0.9400 , 108.0963
0.9882 , 107.9774
0.0598 , 99.7802
0.0378 , 97.5188
0.0181 , 94.4095
0.0087 , 89.0389
