CIA4,
X,Y
0.9891 , 110.9073
0.9492 , 109.7490
0.9305 , 110.0386
0.9177 , 109.8938
0.8806 , 110.0386
0.8683 , 109.6042
0.8296 , 110.0386
0.8001 , 109.4595
0.7793 , 109.8938
0.7490 , 109.3147
0.7298 , 109.8938
0.7183 , 109.0251
0.6804 , 109.8938
0.6688 , 109.3147
0.6305 , 110.0386
0.5990 , 109.7490
0.5803 , 109.8938
0.5488 , 108.8803
0.5296 , 110.3282
0.4989 , 109.1699
0.4809 , 110.1834
0.4498 , 109.6042
0.3996 , 109.0251
0.3501 , 108.7355
0.3003 , 108.8803
0.2500 , 108.0116
0.2001 , 107.2876
0.1503 , 106.4189
0.1008 , 105.1158
0.0900 , 104.5367
0.0797 , 103.9575
0.0689 , 103.3784
0.0601 , 102.7992
0.0501 , 102.3649
0.0402 , 101.6409
0.0298 , 100.4826
0.0210 , 98.4556
0.0102 , 96.1390
0.0050 , 91.9402
0.0022 , 88.0309
-0.0006 , 84.2664
