IA1,
X,Y
0.2470 , 116.6346
0.2892 , 115.9878
0.3220 , 116.4716
0.3533 , 116.4760
0.3846 , 116.1994
0.4159 , 116.5024
0.4472 , 116.6297
0.4785 , 117.1017
0.5098 , 116.4029
0.5411 , 116.9415
0.5723 , 116.6253
0.6036 , 116.3663
0.6349 , 116.2599
0.6662 , 116.4980
0.6975 , 116.4760
0.7288 , 116.3882
0.7601 , 115.9052
0.7913 , 115.8613
0.8226 , 115.9931
0.8539 , 116.4541
0.8852 , 116.0150
0.9890 , 208.6055
0.9536 , 116.1746
0.9072 , 115.3266
0.2038 , 115.8920
0.1487 , 114.7613
0.1031 , 113.0653
0.0810 , 111.6520
0.0653 , 111.0867
0.0393 , 109.3907
0.0260 , 105.7161
0.0134 , 100.9108
0.0087 , 97.5188
0.0031 , 93.8442
