RS-1,
X,Y
0.0200 , 110.4726
0.1600 , 144.3790
0.1800 , 146.5055
0.2000 , 148.1414
0.2200 , 149.3765
0.2400 , 150.9060
0.2600 , 152.4409
0.2800 , 153.9317
0.3000 , 155.6067
0.3200 , 157.0418
0.3400 , 158.1538
0.3600 , 159.4921
0.3800 , 160.7444
0.4000 , 162.3338
0.4200 , 163.8843
0.4400 , 165.0057
0.4600 , 166.2077
0.4800 , 167.1843
0.5000 , 168.2866
0.5200 , 169.6329
0.5400 , 170.8781
0.5600 , 171.7179
0.5800 , 172.8462
0.6000 , 173.9883
0.6200 , 174.6973
0.6400 , 175.8371
0.6600 , 176.8680
0.6800 , 177.5959
0.7000 , 178.0992
0.7200 , 178.2687
0.7400 , 179.0885
0.7600 , 179.9009
0.7800 , 180.3603
0.8000 , 181.1552
0.8200 , 182.0932
0.8400 , 182.4284
0.8600 , 182.7472
0.8800 , 183.3766
0.9000 , 184.2354
0.9200 , 185.5563
0.9400 , 187.0117
0.9600 , 189.4532
0.9800 , 195.0275
0.0341 , 120.9078
0.0506 , 126.5818
0.0640 , 131.2242
0.0846 , 135.3508
0.1001 , 137.9298
0.1238 , 141.0248
0.1404 , 143.6039
